run_name,run_id,model_uri,roc_auc,average_precision,f1,precision,recall,accuracy,log_loss,brier,fit_seconds,predict_ms_per_1k
lightgbm_l63_lr0.05,13c8a9e64c134bdd88e05904a128e83f,models:/m-8fe708c7ec8e444f8aca7a1ca62a9620,0.8948836149502631,0.7822173516751145,0.6715976331360947,0.8954635108481263,0.5372781065088758,0.9112,0.25735431457252944,0.07011956438869686,0.5134,5.24
xgboost_d8_eta0.05,fbc2f051bcc44c92961fd8a9640bb31c,models:/m-f8a3f7bd08fa40e7aa32731b5ae64180,0.8936033438005112,0.7853384597472183,0.6626506024096386,0.9109730848861284,0.5207100591715976,0.9104,0.260806679725647,0.07057551294565201,0.941,2.02
lightgbm_l127_lr0.1,e43accfeeba84893975806df4ff9baad,models:/m-1e0e01b7aee841cfbdd1895f0e9b55e9,0.8929115131836599,0.7897962256636667,0.6938181818181818,0.9,0.5644970414201184,0.9158,0.33961379619390425,0.07128904949544566,1.0249,8.74
lightgbm_l31_lr0.05,a5b697774362426fabde8e6aa33ac388,models:/m-e9383c2badaa4ca68cc8b24ab7fd1745,0.8917334928331875,0.7728855968884614,0.641566265060241,0.8819875776397516,0.5041420118343195,0.9048,0.2601025915564475,0.07289815221889548,0.3598,5.48
xgboost_d6_eta0.1,fc92bebc6a7d4bedac60d3a90e7f765e,models:/m-20ca75fb79fb43d39d73d3c83f5c7e45,0.8904418288367191,0.7698123698565958,0.6567607726597325,0.8822355289421158,0.5230769230769231,0.9076,0.2700803577899933,0.07273287326097488,0.3811,0.84
hist_gbm_lr0.1,0c3c830ac44544a781b17652b7be2e57,models:/m-2ef4bc863d6547b89c1b2b03735005be,0.8863583477524049,0.7599976601580578,0.6395173453996983,0.8814968814968815,0.5017751479289941,0.9044,0.2677608560018738,0.07523219441477179,0.2767,2.4
xgboost_d4_eta0.1,2bbc349f6edb422faa9ce316b2a6ed1e,models:/m-dd9df4007651443dbd717061d4554fd0,0.8838240090003489,0.7505090448055068,0.6407185628742516,0.8716904276985743,0.506508875739645,0.904,0.27259156107902527,0.07671348750591278,0.4198,0.96
hist_gbm_lr0.05,9413ef51ef3840acbc26369644410547,models:/m-9dc5586f7bcd4cf1a556c3043bde6b0c,0.8811911221241961,0.7456055798068443,0.6053042121684867,0.8878718535469108,0.4591715976331361,0.8988,0.27710652247801437,0.07891121998954259,0.3636,2.08
random_forest_d16,02782ddc9d5c42d7ac3f78ed0140f59a,models:/m-1be6777c21b442a18df89c55cdb47d87,0.8771965052442697,0.7438792739954669,0.5163511187607573,0.9463722397476341,0.35502958579881655,0.8876,0.3001811261387813,0.08600219798851863,2.5388,10.52
hist_gbm_lr0.2,7516232938b44742b105aca0fab3bf58,models:/m-07b73f0829f443b3acdf7b8abd791895,0.8742753793461929,0.7377077548607739,0.6090979182729376,0.8738938053097345,0.46745562130177515,0.8986,0.2806567074351241,0.07958288310914538,0.1102,0.7
random_forest_d8,21c6550cbf9f4c6a996ff91afcf5aadd,models:/m-2787c7df7f984c5d974df099b46288df,0.8318148092766254,0.6331495202533977,0.23492723492723494,0.9658119658119658,0.13372781065088757,0.8528,0.3577532020201739,0.1075489252031718,1.6359,17.84
logreg_C0.1,9186bf46ce544e28b69296711f0eb70d,models:/m-f95ddb345b9c431fa386c9c6b93c04e6,0.6793207015145365,0.3364359488062649,0.058361391694725026,0.5652173913043478,0.03076923076923077,0.8322,0.4234507787731316,0.12980873376987437,0.0101,0.12
logreg_C1.0,6abef60fc2d7452a92cdef9c67ed2c4b,models:/m-233fe2f53592446a9cd6f8abf57ca962,0.6793187077663612,0.3364841804697888,0.058361391694725026,0.5652173913043478,0.03076923076923077,0.8322,0.42346364373872475,0.12979572151313643,0.0078,0.12
baseline_majority,3849c9806f78441ab1436b0e5693463b,models:/m-777b297f3dfd41b18ac6f02da17e3473,0.5,0.169,0.0,0.0,0.0,0.831,0.45429705246197455,0.1404390044444444,0.0004,0.02
